,STATE,YEAR,LOCAL_REVENUE,TOTAL_REVENUE
0,ALABAMA,2016,2603240.0,7498567.0
1,ALASKA,2016,573696.0,2494691.0
2,ARIZONA,2016,3901400.0,8503034.0
3,ARKANSAS,2016,684983.0,5401016.0
4,CALIFORNIA,2016,30603616.0,89217262.0
5,COLORADO,2016,5044338.0,10123271.0
6,CONNECTICUT,2016,6539874.0,11419673.0
7,DELAWARE,2016,736946.0,2043577.0
8,DISTRICT_OF_COLUMBIA,2016,1174797.0,1329719.0
9,FLORIDA,2016,14014462.0,28125598.0
10,GEORGIA,2016,8824890.0,19403453.0
11,HAWAII,2016,59027.0,3030519.0
12,IDAHO,2016,571338.0,2266490.0
13,ILLINOIS,2016,18523918.0,32908958.0
14,INDIANA,2016,3996613.0,12732161.0
15,IOWA,2016,2871491.0,6919477.0
16,KANSAS,2016,1666124.0,6069563.0
17,KENTUCKY,2016,2596532.0,7745928.0
18,LOUISIANA,2016,3895318.0,8397136.0
19,MAINE,2016,1584947.0,2845391.0
20,MARYLAND,2016,7250771.0,14409321.0
21,MASSACHUSETTS,2016,9949575.0,17484704.0
22,MICHIGAN,2016,7135452.0,19416061.0
23,MINNESOTA,2016,3664457.0,12186135.0
24,MISSISSIPPI,2016,1653054.0,4755399.0
25,MISSOURI,2016,5399709.0,10893231.0
26,MONTANA,2016,739765.0,1800909.0
27,NEBRASKA,2016,2614937.0,4398811.0
28,NEVADA,2016,1264652.0,4482886.0
29,NEW_HAMPSHIRE,2016,1976554.0,3150473.0
30,NEW_JERSEY,2016,17143437.0,30012666.0
31,NEW_MEXICO,2016,666630.0,3765069.0
32,NEW_YORK,2016,36105265.0,66912661.0
33,NORTH_CAROLINA,2016,3603019.0,13448045.0
34,NORTH_DAKOTA,2016,647931.0,1788749.0
35,OHIO,2016,12807744.0,23766529.0
36,OKLAHOMA,2016,2504321.0,6103728.0
37,OREGON,2016,2974057.0,7418055.0
38,PENNSYLVANIA,2016,17991950.0,31077289.0
39,RHODE_ISLAND,2016,1285173.0,2401541.0
40,SOUTH_CAROLINA,2016,4058717.0,9161667.0
41,SOUTH_DAKOTA,2016,820464.0,1455737.0
42,TENNESSEE,2016,4094159.0,9585331.0
43,TEXAS,2016,30326508.0,58284155.0
44,UTAH,2016,2025290.0,4952923.0
45,VERMONT,2016,385956.0,2112365.0
46,VIRGINIA,2016,8903541.0,16259274.0
47,WASHINGTON,2016,4655479.0,14964364.0
48,WEST_VIRGINIA,2016,1170449.0,3391579.0
49,WISCONSIN,2016,4928093.0,11697466.0
50,WYOMING,2016,745758.0,2044669.0
